Time_s,Hour,Hour_of_Day,User_ID,Lat,Lon,Demand_Mbps,TN_Eval_BS,TN_Eval_MHz,TN_Reason,NTN_Eval_Beam,NTN_Eval_MHz,NTN_Reason,Final_State
0,0.0,0.0,0,43.8869,-79.2649,1.45,BS_169,0.0,5G SINR too low (-6.1 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,1,43.1034,-81.4331,0.85,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,2,43.048,-80.0021,2.97,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,3,43.7719,-79.1766,25.5,BS_58,92.9,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,4,43.6631,-79.4249,0.83,BS_58,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,5,43.5986,-79.5003,22.16,BS_0,0.0,N/A,Sat_LIVE-SIMULAT-066-003,31.42,Fully Served,LEO
0,0.0,0.0,6,43.6654,-79.4449,2.51,BS_0,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,7,43.6649,-79.4555,15.3,BS_147,26.71,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,8,42.9218,-81.3828,1.39,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,9,43.294,-79.9772,0.37,BS_81,27.44,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,10,43.6384,-79.3288,29.05,BS_94,0.0,5G SINR too low (-4.3 dB),Sat_LIVE-SIMULAT-066-003,14.33,Fully Served,LEO
0,0.0,0.0,11,43.7273,-79.3029,35.37,BS_58,29.36,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,12,43.8841,-79.3607,0.99,BS_58,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,13,43.7918,-79.19,1.43,BS_58,7.33,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,14,43.8949,-79.5945,2.48,BS_198,93.14,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,15,44.157,-76.4589,1.28,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,26.83,Fully Served,LEO
0,0.0,0.0,16,43.7119,-79.4646,2.77,BS_40,0.0,5G SINR too low (-5.0 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,17,45.1144,-75.4545,17.41,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-067-003,32.63,Fully Served,LEO
0,0.0,0.0,18,43.721,-79.3718,5.53,BS_94,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,19,43.1152,-79.7962,33.34,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,20,43.8091,-79.1488,2.83,BS_58,84.04,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,21,43.9447,-79.3747,1.22,BS_169,69.97,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,22,44.0061,-79.2278,24.59,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,38.1,Fully Served,LEO
0,0.0,0.0,23,43.6573,-79.5046,7.37,BS_40,88.43,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,24,43.7458,-79.6292,0.8,BS_136,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,25,43.0357,-81.3406,18.98,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,26,42.9443,-80.0212,3.81,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,40.0,Fully Served,LEO
0,0.0,0.0,27,43.8765,-79.3197,22.58,BS_94,54.68,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,28,43.7482,-79.3883,0.94,BS_40,0.0,5G SINR too low (-5.0 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,29,43.7735,-79.369,4.05,BS_136,0.0,5G SINR too low (-8.7 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,30,43.6501,-79.3563,2.59,BS_147,94.47,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,31,43.7004,-79.4264,23.28,BS_147,43.11,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,32,43.7583,-79.5494,0.29,BS_136,0.0,5G SINR too low (-6.2 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,33,43.1716,-79.7126,0.66,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,34,43.1996,-79.6681,0.51,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,35,43.8044,-79.3091,0.16,BS_147,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,36,43.5583,-79.591,0.63,BS_40,0.0,5G SINR too low (-13.5 dB),Sat_LIVE-SIMULAT-066-003,14.44,Fully Served,LEO
0,0.0,0.0,37,42.7821,-81.2839,6.8,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,40.0,Fully Served,LEO
0,0.0,0.0,38,45.392,-75.756,6.37,BS_87,0.0,5G SINR too low (-4.5 dB),Sat_LIVE-SIMULAT-067-003,23.93,Fully Served,LEO
0,0.0,0.0,39,43.7976,-79.4121,25.39,BS_169,91.67,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,40,45.3456,-75.7152,34.71,BS_168,99.04,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,41,43.1581,-79.9282,36.32,BS_81,62.43,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,42,45.2939,-75.6912,1.07,BS_168,70.09,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,43,43.686,-79.3342,6.68,BS_147,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,44,43.7412,-79.352,1.41,BS_58,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,45,43.8899,-79.2095,15.47,BS_94,24.16,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,46,45.2668,-75.5837,1.06,BS_87,35.5,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,47,43.1434,-79.9704,1.02,BS_81,0.0,5G SINR too low (-3.5 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,48,43.7647,-79.4835,0.76,BS_136,86.34,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,49,44.0103,-79.3834,27.45,BS_169,0.0,5G SINR too low (-4.3 dB),Sat_LIVE-SIMULAT-066-003,27.96,Fully Served,LEO
0,0.0,0.0,50,43.7983,-79.2865,0.37,BS_58,0.0,5G SINR too low (-11.9 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,51,43.7542,-79.3236,32.87,BS_58,64.45,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,52,45.3223,-75.7626,19.83,BS_168,86.74,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,53,43.6114,-79.6303,31.2,BS_0,46.78,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,54,43.2241,-79.7375,0.94,BS_81,33.67,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,55,45.1866,-75.7309,0.38,BS_168,15.41,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,56,43.7073,-79.3155,6.77,BS_147,14.15,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,57,42.9918,-81.5497,0.35,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,58,43.8162,-79.536,1.05,BS_169,0.0,5G SINR too low (-9.0 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,59,45.3834,-75.5454,1.05,BS_87,0.0,5G SINR too low (-16.4 dB),Sat_LIVE-SIMULAT-067-003,25.74,Fully Served,LEO
0,0.0,0.0,60,42.9421,-81.1912,16.27,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,61,43.8772,-79.264,0.7,BS_94,0.0,5G SINR too low (-5.3 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,62,44.4396,-76.5013,2.47,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,26.26,Fully Served,LEO
0,0.0,0.0,63,43.6859,-79.4973,5.3,BS_40,0.0,5G SINR too low (-6.9 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,64,43.7965,-79.2144,17.8,BS_58,0.0,N/A,Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,65,43.1627,-80.0222,0.63,BS_81,62.68,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,66,46.5903,-80.7198,25.34,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,34.0,Fully Served,LEO
0,0.0,0.0,67,43.6333,-79.5156,22.71,BS_136,0.0,5G SINR too low (-7.3 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,68,43.6798,-79.4336,1.26,BS_40,0.0,5G SINR too low (-10.1 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,69,43.4845,-79.7029,4.93,BS_0,0.0,5G SINR too low (-11.4 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,70,43.6542,-79.3814,6.53,BS_147,32.56,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,71,43.6524,-79.4893,33.15,BS_0,0.0,5G SINR too low (-3.5 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,72,43.8295,-79.4038,0.81,BS_94,0.0,5G SINR too low (-7.7 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,73,43.6927,-79.3489,32.54,BS_147,93.76,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,74,43.8301,-79.4785,3.21,BS_169,62.92,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,75,45.4537,-76.3303,0.31,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-067-003,40.0,Fully Served,LEO
0,0.0,0.0,76,43.7791,-79.4675,33.88,BS_198,22.29,Partially Served (Congested),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),TN
0,0.0,0.0,77,46.4586,-81.1376,19.49,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-066-003,23.85,Fully Served,LEO
0,0.0,0.0,78,42.7625,-81.4159,0.56,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,37.2,Fully Served,LEO
0,0.0,0.0,79,43.669,-79.4832,5.17,BS_40,97.76,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,80,43.877,-79.2854,35.81,BS_94,0.0,5G SINR too low (-3.2 dB),Sat_LIVE-SIMULAT-066-003,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,81,43.727,-79.4599,4.76,BS_40,61.93,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,82,42.854,-81.3884,24.99,None,0.0,No 5G Tower in Geographic Range,Sat_LIVE-SIMULAT-048-007,0.0,NTN Beam Congested (Empty),DROPPED
0,0.0,0.0,83,43.6871,-79.3669,7.13,BS_147,100.0,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,84,43.72,-79.3853,4.06,BS_40,24.84,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,85,45.2959,-75.6771,4.77,BS_168,65.14,Fully Served,None,0.0,N/A,TN
0,0.0,0.0,86,45.2031,-75.6758,34.62,BS_168,55.4,Fully Served,None,0.0,N/A,TN
