User_ID,Home_TN_Cell,User_Profile,Base_Demand_Mbps,Demand_Hour_0,Lat_Hour_0,Lon_Hour_0,Demand_Hour_1,Lat_Hour_1,Lon_Hour_1,Demand_Hour_2,Lat_Hour_2,Lon_Hour_2,Demand_Hour_3,Lat_Hour_3,Lon_Hour_3,Demand_Hour_4,Lat_Hour_4,Lon_Hour_4,Demand_Hour_5,Lat_Hour_5,Lon_Hour_5,Demand_Hour_6,Lat_Hour_6,Lon_Hour_6,Demand_Hour_7,Lat_Hour_7,Lon_Hour_7,Demand_Hour_8,Lat_Hour_8,Lon_Hour_8,Demand_Hour_9,Lat_Hour_9,Lon_Hour_9,Demand_Hour_10,Lat_Hour_10,Lon_Hour_10,Demand_Hour_11,Lat_Hour_11,Lon_Hour_11,Demand_Hour_12,Lat_Hour_12,Lon_Hour_12,Demand_Hour_13,Lat_Hour_13,Lon_Hour_13,Demand_Hour_14,Lat_Hour_14,Lon_Hour_14,Demand_Hour_15,Lat_Hour_15,Lon_Hour_15,Demand_Hour_16,Lat_Hour_16,Lon_Hour_16,Demand_Hour_17,Lat_Hour_17,Lon_Hour_17,Demand_Hour_18,Lat_Hour_18,Lon_Hour_18,Demand_Hour_19,Lat_Hour_19,Lon_Hour_19,Demand_Hour_20,Lat_Hour_20,Lon_Hour_20,Demand_Hour_21,Lat_Hour_21,Lon_Hour_21,Demand_Hour_22,Lat_Hour_22,Lon_Hour_22,Demand_Hour_23,Lat_Hour_23,Lon_Hour_23
0,7,Heavy (Gaming/4K),22.49,4.5,42.8132,-81.2022,4.51,42.8132,-81.2022,4.54,42.8132,-81.2022,4.62,42.8132,-81.2022,4.82,42.8169,-81.2095,5.24,42.8169,-81.2095,6.02,42.8157,-81.2023,7.3,42.8157,-81.2023,9.12,42.8157,-81.2023,11.32,42.823,-81.1665,13.51,42.823,-81.1665,15.17,42.823,-81.1665,15.88,42.823,-81.1665,15.58,42.823,-81.1665,14.76,42.8197,-81.2015,14.36,42.8197,-81.2015,15.37,42.8197,-81.2015,18.25,42.8197,-81.2015,22.35,42.8086,-81.2004,25.99,42.8057,-81.1938,27.31,42.8189,-81.195,25.38,42.8049,-81.2055,20.87,42.8049,-81.2055,15.46,42.8049,-81.2055
1,5,Medium (Social/Video),1.82,0.36,46.7094,-80.7792,0.36,46.6999,-80.7868,0.37,46.6999,-80.7868,0.37,46.6999,-80.7868,0.39,46.6999,-80.7868,0.42,46.6999,-80.7868,0.49,46.6999,-80.7868,0.59,46.6999,-80.7868,0.74,46.71,-80.7761,0.91,46.7081,-80.7771,1.09,46.7081,-80.7771,1.23,46.7081,-80.7771,1.28,46.7171,-80.7744,1.26,46.7041,-80.7758,1.19,46.7041,-80.7758,1.16,46.709,-80.777,1.24,46.709,-80.777,1.47,46.7123,-80.7824,1.81,46.7123,-80.7824,2.1,46.7095,-80.7723,2.21,46.7095,-80.7723,2.05,46.7095,-80.7723,1.69,46.7095,-80.7723,1.25,46.7095,-80.7723
2,5,Heavy (Gaming/4K),22.13,4.43,46.5001,-81.2237,4.44,46.5001,-81.2237,4.47,46.5001,-81.2237,4.55,46.5001,-81.2237,4.74,46.5001,-81.2237,5.15,46.5001,-81.2237,5.92,46.498,-81.2134,7.18,46.498,-81.2134,8.97,46.4852,-81.246,11.14,46.4928,-81.2228,13.29,46.4928,-81.2228,14.92,46.4928,-81.2228,15.62,46.4967,-81.218,15.33,46.4967,-81.218,14.53,46.482,-81.2495,14.13,46.4919,-81.2302,15.13,46.5001,-81.211,17.95,46.5001,-81.211,21.99,46.4805,-81.2223,25.58,46.4805,-81.2223,26.87,46.4834,-81.2484,24.97,46.4815,-81.2457,20.53,46.4815,-81.2457,15.21,46.4815,-81.2457
3,1,Medium (Social/Video),2.23,0.45,43.7669,-79.5452,0.45,43.7669,-79.5452,0.45,43.7669,-79.5452,0.46,43.7669,-79.5452,0.48,43.7669,-79.5452,0.52,43.7669,-79.5452,0.6,43.7669,-79.5452,0.72,43.7669,-79.5452,0.9,43.7529,-79.543,1.12,43.7529,-79.543,1.34,43.7678,-79.5499,1.5,43.7678,-79.5499,1.57,43.7485,-79.5458,1.54,43.7485,-79.5458,1.46,43.7485,-79.5458,1.42,43.7485,-79.5458,1.52,43.7485,-79.5458,1.81,43.7485,-79.5458,2.21,43.7977,-79.5246,2.58,43.7439,-79.5458,2.71,43.7688,-79.5396,2.51,43.7688,-79.5396,2.07,43.7669,-79.5463,1.53,43.7669,-79.5463
4,7,Medium (Social/Video),4.4,0.88,43.0128,-81.1177,0.88,43.0128,-81.1177,0.89,43.0128,-81.1177,0.9,43.0128,-81.1177,0.94,43.3776,-80.9898,1.02,43.3776,-80.9898,1.18,43.3776,-80.9898,1.43,43.3776,-80.9898,1.78,43.0092,-81.1128,2.21,43.0136,-81.1232,2.64,43.0136,-81.1232,2.97,43.0136,-81.1232,3.11,43.0136,-81.1232,3.05,43.0073,-81.1111,2.89,43.0106,-81.1189,2.81,43.0106,-81.1189,3.01,43.0106,-81.1189,3.57,43.0087,-81.1143,4.37,43.0162,-81.1209,5.09,43.0162,-81.1209,5.34,43.0206,-81.1165,4.97,43.0206,-81.1165,4.08,43.0206,-81.1165,3.02,43.0068,-81.1102
5,8,Medium (Social/Video),1.55,0.31,45.4345,-75.6271,0.31,45.4345,-75.6271,0.31,45.4345,-75.6271,0.32,45.4345,-75.6271,0.33,45.4345,-75.6271,0.36,45.4345,-75.6271,0.41,45.4345,-75.6271,0.5,45.4329,-75.6202,0.63,45.4329,-75.6202,0.78,45.4329,-75.6202,0.93,45.4329,-75.6202,1.05,45.4329,-75.6202,1.09,45.4352,-75.6149,1.07,45.4347,-75.6212,1.02,45.44,-75.6251,0.99,45.4407,-75.6226,1.06,45.4338,-75.631,1.26,45.4338,-75.631,1.54,45.4356,-75.6314,1.79,45.4356,-75.6314,1.88,45.4356,-75.6314,1.75,45.4356,-75.6314,1.44,45.4356,-75.6314,1.06,45.4356,-75.6314
6,17,Medium (Social/Video),1.72,0.34,43.4046,-79.7303,0.35,43.4046,-79.7303,0.35,43.4046,-79.7303,0.35,43.4046,-79.7303,0.37,43.4046,-79.7303,0.4,43.4046,-79.7303,0.46,43.4046,-79.7303,0.56,43.4046,-79.7303,0.7,43.4046,-79.7303,0.87,43.468,-79.7786,1.03,43.468,-79.7786,1.16,43.468,-79.7786,1.22,43.4044,-79.7301,1.19,43.4679,-79.7831,1.13,43.4679,-79.7831,1.1,43.4081,-79.7276,1.18,43.4079,-79.7339,1.4,43.4079,-79.7339,1.71,43.4079,-79.7339,1.99,43.4079,-79.7339,2.09,43.4079,-79.7339,1.94,43.4018,-79.7213,1.6,43.4018,-79.7213,1.18,43.4018,-79.7213
7,5,Medium (Social/Video),4.2,0.84,46.667,-81.1447,0.84,46.667,-81.1447,0.85,46.667,-81.1447,0.86,46.667,-81.1447,0.9,46.667,-81.1447,0.98,46.667,-81.1447,1.12,46.667,-81.1447,1.36,46.667,-81.1447,1.7,46.667,-81.1447,2.11,46.667,-81.1447,2.52,46.6625,-81.1495,2.83,46.6625,-81.1495,2.96,46.6625,-81.1495,2.91,46.6689,-81.1499,2.76,46.6689,-81.1499,2.68,46.6689,-81.1499,2.87,46.6689,-81.1499,3.41,46.6635,-81.1511,4.17,46.6635,-81.1511,4.85,46.6635,-81.1511,5.1,46.6635,-81.1511,4.74,46.6635,-81.1511,3.9,46.6758,-81.1432,2.89,46.6758,-81.1432
8,17,Heavy (Gaming/4K),13.74,2.75,42.857,-79.7467,2.76,42.857,-79.7467,2.77,42.857,-79.7467,2.82,42.857,-79.7467,2.94,42.857,-79.7467,3.2,42.857,-79.7467,3.68,42.857,-79.7467,4.46,42.857,-79.7467,5.57,42.8548,-79.7492,6.92,42.8548,-79.7492,8.25,42.8548,-79.7492,9.27,42.8552,-79.7556,9.7,42.8642,-79.7458,9.52,42.8631,-79.7397,9.02,42.8631,-79.7397,8.77,42.8533,-79.7406,9.39,42.8579,-79.751,11.15,42.8529,-79.7416,13.65,42.8529,-79.7416,15.88,42.8529,-79.7416,16.68,42.8541,-79.739,15.51,42.8581,-79.7434,12.75,42.8666,-79.7538,9.44,42.8666,-79.7538
9,3,Medium (Social/Video),2.96,0.59,44.0172,-76.4614,0.59,44.0172,-76.4614,0.6,44.0172,-76.4614,0.61,44.0172,-76.4614,0.63,44.0172,-76.4614,0.69,44.0172,-76.4614,0.79,44.0172,-76.4614,0.96,44.0215,-76.4655,1.2,44.0215,-76.4655,1.49,44.0219,-76.4719,1.78,44.0219,-76.4719,2.0,44.0196,-76.4664,2.09,44.0196,-76.4664,2.05,44.0178,-76.4625,1.94,44.0178,-76.4625,1.89,44.0186,-76.4586,2.02,44.0186,-76.4586,2.4,44.0186,-76.4586,2.94,44.0186,-76.4586,3.42,44.0186,-76.4586,3.59,44.0227,-76.4688,3.34,44.0094,-76.4624,2.75,44.0094,-76.4624,2.03,44.0094,-76.4624
