Time_s,Hour,Total_Demand_Mbps,Served_TN_Mbps,Served_NTN_Mbps,Active_NTN_Beams,Dropped_Traffic_Mbps
0,0.0,10722.71,2688.39,4131.2,85,3903.1
3600,1.0,9876.97,2041.83,3721.88,85,4113.26
7200,2.0,8169.03,1823.48,3233.55,86,3111.99
10800,3.0,5858.29,1745.63,2447.74,86,1664.48
14400,4.0,3488.94,1274.36,1653.4,87,558.36
18000,5.0,1694.45,567.42,942.59,87,177.33
21600,6.0,946.65,315.25,583.65,83,33.48
25200,7.0,1369.6,429.25,852.79,86,78.43
28800,8.0,2707.66,781.73,1517.09,86,404.7
32400,9.0,4458.42,1338.25,2316.86,87,801.79
36000,10.0,6098.46,1549.29,2978.58,88,1570.13
39600,11.0,7287.54,1845.13,3463.85,88,1978.56
43200,12.0,7956.98,1765.75,3744.39,85,2446.85
46800,13.0,8256.26,1803.14,3818.03,86,2635.1
50400,14.0,8409.22,1882.28,3783.21,87,2743.73
54000,15.0,8573.1,1968.75,3764.23,85,2840.11
57600,16.0,8778.96,1982.15,3879.88,87,2916.93
61200,17.0,8973.04,2087.32,3985.96,88,2899.75
64800,18.0,9112.34,2026.04,3975.53,86,3110.76
68400,19.0,9235.84,1788.32,4175.5,88,3272.01
72000,20.0,9452.76,2105.4,4227.75,88,3119.61
75600,21.0,9848.86,1981.85,4348.76,85,3518.25
79200,22.0,10372.32,2208.81,4468.71,84,3694.81
82800,23.0,10783.65,2109.69,4664.3,85,4009.66
86400,0.0,10722.71,1987.17,4669.11,85,4066.42
